model,depth,best_test_acc,final_train_acc,final_test_acc,training_time_s
GCN_VN,2,0.6,0.9868421052631579,0.4,9.88
GIN_VN,2,0.8,1.0,0.7,9.18
GCN_VN,3,1.0,0.99875,1.0,624.54
GIN_VN,3,1.0,0.9996875,1.0,582.21
GCN_VN,4,0.36625,0.918203125,0.3596875,1518.7
GIN_VN,4,0.4828125,0.7775,0.455625,1413.74
GCN_VN,5,0.0325,0.2418359375,0.02953125,4653.76
GIN_VN,5,0.03265625,0.0281640625,0.03125,4347.53
